in_degree,out_degree,te_out_shift_0,te_out_shift_1,te_out_shift_2,te_out_shift_3,te_out_shift_4,te_out_shift_5,te_out_shift_6,te_out_shift_7,te_out_shift_8,te_out_shift_9,te_in_shift_0,te_in_shift_1,te_in_shift_2,te_in_shift_3,te_in_shift_4,te_in_shift_5,te_in_shift_6,te_in_shift_7,te_in_shift_8,te_in_shift_9,1_source,1_mediator,1_sink,2_source,2_mediator,2_sink,3_source,3_mediator,3_sink,4_source,4_mediator,4_sink
4,3,0.003146452883271442,0.002880819793572189,0.0028543200041379843,0.0028973688522155746,0.0026189756084799695,0.0026451970721057907,0.0025067031877715556,0.002479501999424839,0.0023521707453219073,0.002628185292554137,0.0026485186785766084,0.00260769324820351,0.0024233965308324305,0.0023881169442684547,0.0021657514164273237,0.0025465976013117272,0.0024121746665188275,0.0022909298461066072,0.002262994652517285,0.002114949989780422,3.0,0.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0
4,3,0.0035440313425914942,0.003319232449576095,0.002985518660969559,0.0028481546841100467,0.002932095507993573,0.0026719793759798034,0.002694775037418882,0.002797738272016062,0.0026087324437626433,0.0026759420551032745,0.0025503220551283787,0.0028201365799969454,0.0024373436200494656,0.0022351715787937033,0.0023716258784232083,0.0023089718146381143,0.00238024612976432,0.0023157264089553606,0.0023533390627777035,0.0022645829583183004,3.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,0.0031432805070572348,0.002792186941180907,0.0027001814215726902,0.0028704491938156274,0.0030403919579974673,0.0025527192087317595,0.0026779626424192245,0.0028295197899205755,0.002680332179522808,0.002932506946813065,0.003216997519083437,0.003064091865951615,0.003100487980462316,0.002775473562582158,0.002563130963696806,0.0025161085196917137,0.0026446991463790724,0.0026376664959003805,0.0027615773625635637,0.0026927646662404108,1.0,0.0,5.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0.003110652408058157,0.0035638480045053047,0.00318098742972857,0.0031011167106692297,0.0029855409506531418,0.002789915096631385,0.002734417735183062,0.003163041926828426,0.0028095874283142553,0.0028806751321447436,0.004067232539991615,0.0033438107827307253,0.003100408119602115,0.0033415718121916848,0.003151165585024966,0.002750108952751177,0.0028420378114280076,0.0030504968634018684,0.00295126355883947,0.0027037726268794057,4.0,0.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,0.002482997158569684,0.002502960282113528,0.0024079850797808825,0.0023219104366901827,0.0024144830070912675,0.0023893581024578355,0.0024069634014425643,0.0026303076158724803,0.0025009070436192056,0.0026061933426611674,0.0025552176556360214,0.0023588371344662896,0.0022101494734156246,0.0021509992996022885,0.002176245946958115,0.0023053188310255407,0.0020774222451820316,0.002066358117421594,0.0019415019730271794,0.002124090655600948,6.0,0.0,4.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0029133300973349305,0.0025250218186709515,0.0025911523166332663,0.0026879389383547164,0.0028493457059228997,0.0025062257222417885,0.002592438424810174,0.002615861173390566,0.0026114648176050804,0.0026343251720708687,0.0031654506981927504,0.003228625218853992,0.0028798141613826946,0.003077454091106853,0.002741629918488579,0.0026823830254457753,0.0028247659727716054,0.0027728373096468045,0.002620143218981427,0.0026378372046294914,4.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0026154802552311764,0.0024819264871129092,0.002528294118443427,0.002503600607161572,0.002479573461086092,0.002319711677918846,0.002383143927242273,0.0026028168048641965,0.002685779606227643,0.00246744631644619,0.002264689606257193,0.0023327942058114395,0.0024509229174912977,0.0023117146978320906,0.0022716248255447995,0.0023492990568795484,0.0023724013836633746,0.0021136807182184376,0.0020794632133054837,0.0024194960078829423,5.0,0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0.002603755903508315,0.0029035247637055808,0.0028486003706931517,0.002979136945500683,0.0026452602334473886,0.0027253074073094654,0.0026875910296471567,0.00247751706288215,0.0027428505941394887,0.002914107205273033,0.0034722550432641133,0.003068673415798595,0.0035611362194038717,0.003189349340345581,0.0029724228214698337,0.0028586695312927575,0.002857610289076365,0.002582606719294974,0.0026995516079289647,0.002922674728901549,2.0,0.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0032122036503962038,0.0030389753934109164,0.0028260069937425508,0.002613059506744316,0.002687037195234488,0.0023487438303675242,0.0031027407993316995,0.0023944081643444298,0.002620225015195564,0.0027302371825684473,0.002879380446646443,0.002932684571578012,0.0027985994084276334,0.0027114592637196657,0.0027956417919665325,0.0024536757407781435,0.0026084860602039687,0.002276833167023971,0.0027123310613209025,0.002722685202009548,4.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0038705837942567657,0.003667213503353698,0.00333132902178852,0.0030062205939322857,0.002668926528810154,0.003079890243362326,0.002899850114244939,0.0028359306175320515,0.0029841328080229402,0.002911724511575587,0.0037445030535127725,0.003962883031555967,0.003513916575829353,0.0031007370116672233,0.0035203459354713066,0.003014335104715801,0.003265034979881979,0.0032467434996582677,0.0031976364721900607,0.0033819286205744948,3.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
