in_degree,out_degree,te_out_shift_0,te_out_shift_1,te_out_shift_2,te_out_shift_3,te_out_shift_4,te_out_shift_5,te_out_shift_6,te_out_shift_7,te_out_shift_8,te_out_shift_9,te_in_shift_0,te_in_shift_1,te_in_shift_2,te_in_shift_3,te_in_shift_4,te_in_shift_5,te_in_shift_6,te_in_shift_7,te_in_shift_8,te_in_shift_9,1_source,1_mediator,1_sink,2_source,2_mediator,2_sink,3_source,3_mediator,3_sink
2,3,0.006277829668614109,0.0039866108051502995,0.0029690800785631996,0.002758307718774493,0.0022335699231834003,0.0019931640848538687,0.0020006694514360605,0.0018851160981302997,0.0018149851329478,0.0019453862114027002,0.0063926608174332,0.0045215730104834,0.0038792304936944993,0.0029108938356014,0.003239319980923,0.0022110194000553997,0.0021698909912213,0.0020436267696926002,0.0020344383699671,0.0022366466964408,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,0.002883186087264078,0.0022572224819679704,0.001975265858322498,0.0015899015752536378,0.0015655215510123792,0.0013806970591787873,0.0015294859349490354,0.0012751837812113667,0.0013781999472385275,0.001462961392319223,0.0011795447259488466,0.0012793515386590537,0.001052545464638947,0.0009764766559358848,0.0009217515571171822,0.000885126327755345,0.0009918010875166557,0.000986898600561428,0.0010961129192628882,0.0010329007700811159,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.0013923919544279362,0.0013584561380046974,0.0013027812273857207,0.0012990550726627457,0.0012218657512983121,0.0012234735975798748,0.0012612092048688306,0.001129990806292761,0.0013197132357421876,0.0014028675427982685,0.0013613732416975473,0.0013780034665383902,0.0012637961403995114,0.0012943453675804384,0.0012053463004017828,0.0013881054422345616,0.0013604307592873794,0.0012579327466873613,0.0011438046595355403,0.001188242442580626,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.0014727453063702917,0.0015631214633851193,0.001265460148514253,0.0014574996135092782,0.0014116424514227263,0.0012365926466032801,0.0014531574139417702,0.001499143532242081,0.001248154504426543,0.0012924961279397343,0.0024722541352090997,0.0022427310048054,0.0019128355983291986,0.0015714690753975999,0.0014978798523911307,0.001261557643124733,0.0015246110160054309,0.0013574413257628054,0.0016066105787930999,0.0015242405275041999,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.002254908403620871,0.0022378399362464854,0.0017731744160081474,0.001556027861914498,0.0016557716062520539,0.0012213015316155647,0.0011269817049286287,0.0013631062830367,0.001238177041039571,0.0011731921120429977,0.0010759597222291055,0.0012446273633310348,0.0009685125822930648,0.0011915032314592142,0.0009984355982111499,0.0009703765366003595,0.0010017856590958693,0.0009605388936302861,0.0010449651244304051,0.0011007203620304001,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.001436176679534754,0.00156264720470906,0.0013904650681411986,0.0012867309451071885,0.001179956704792494,0.0014099637099610435,0.0013919729816505928,0.001353578834951136,0.0012633721550334,0.0014062563480611002,0.0017209117485973843,0.0016060071368653476,0.0012937263618261817,0.0012883994731517706,0.0013419582938447147,0.0013347223963920928,0.0010998448449543962,0.0011522992636927819,0.001271185574476741,0.0012570793950800378,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0.0017732082143763633,0.0016108946724831704,0.0014875441833510172,0.0015466386857169,0.001247589060193735,0.0012485925617345091,0.0013409579900914748,0.0013476748437953618,0.001426164770933176,0.0014099414475233127,0.001031373783006269,0.0009765437285382239,0.0010121704032316741,0.001132134530402343,0.0010682035661145311,0.0011014735619042473,0.0011671924521819042,0.0009526924337610603,0.0011205776605027783,0.0010844783950162836,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.003747190931395509,0.0030530621817277995,0.00251848545409567,0.0022334168449672,0.002247422274900019,0.0020260933058497,0.0018205702364846189,0.0016536516126678903,0.0021004740749191,0.001932099721802,0.0083743620925531,0.006428719026647999,0.0042263260369575,0.004415629913422399,0.0036976842507281,0.0028905966434236,0.002856757612751,0.0025838325880916,0.0025938224727339,0.0027988514550314997,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
2,2,0.0014791521476012746,0.0014074761199292353,0.0013614559867444003,0.0013371252254444732,0.0013160013820433729,0.001282728212038166,0.0012760081160253299,0.001318598789898076,0.0013418035041749437,0.0011511202697536218,0.0014606459183015548,0.001452245002152312,0.001381268624573028,0.0012777264026339473,0.0011323743679324241,0.00104158983097443,0.0011376517346658203,0.0012123045079636358,0.0011546763264644907,0.0011065466935018023,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.004217104961349759,0.002918252940188621,0.0019440530720615421,0.001858566071974402,0.0015985511058815753,0.0009962601146421978,0.0012016925367799804,0.0010502440516411535,0.0010737313008249807,0.0009088084512008264,0.0010533281331551062,0.0009733235165453175,0.0009186326226354969,0.0010607549592684179,0.0010442568727075884,0.0009555757644540387,0.00100012930171855,0.0009437277365325888,0.001063972750113535,0.000934632274266458,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
